"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length"
47,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
48,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
49,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
50,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
51,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
52,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
53,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
54,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
55,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
56,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
57,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
58,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
59,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
60,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
61,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
62,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
63,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
64,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
65,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
66,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
67,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
68,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
69,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
70,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
71,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
72,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
73,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
74,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
75,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
76,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
77,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
78,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
79,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
80,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
81,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
82,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
83,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
84,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
85,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
86,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
87,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
88,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
89,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
90,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
91,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
92,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
93,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
94,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
95,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
96,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
97,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
98,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
99,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
100,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
101,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
102,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
103,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
104,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
105,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
106,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
107,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
108,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
109,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
110,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
111,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
112,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
113,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
114,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
115,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
116,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
117,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
118,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
119,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
120,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
121,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
122,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
123,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
124,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
125,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
126,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
127,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
128,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
129,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
130,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
131,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
132,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
133,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
134,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
135,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
136,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
137,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
138,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
139,0,0,0,0,0,0,0,0,0,0,56,0,"7_9","7~9"
